lemma,pos,ner
with,IN,O
you,PRP$,O
permission,NN,O
I,PRP,O
will,MD,O
read,VB,O
it,PRP,O
to,IN,O
you,PRP,O
.,.,O
listen,VB,O
to,IN,O
this,DT,O
",",",",O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
.,.,O
the,DT,O
head,NN,O
-,HYPH,O
line,NNS,O
be,VBP,O
:,:,O
','',O
mysterious,JJ,O
Affair,NNP,O
at,IN,O
Lower,NNP,LOCATION
Norwood,NNP,LOCATION
.,.,O
disappearance,NN,O
of,IN,O
a,DT,O
well,RB,MISC
-,HYPH,MISC
know,VBN,MISC
Builder,NNP,MISC
.,.,O
suspicion,NN,O
of,IN,O
murder,NN,O
and,CC,O
arson,NN,O
.,.,O
a,DT,O
Clue,NNP,MISC
to,IN,O
the,DT,O
Criminal,NNP,O
.,.,O
',``,O
that,DT,O
be,VBZ,O
the,DT,O
clue,NN,O
which,WDT,O
they,PRP,O
be,VBP,O
already,RB,O
follow,VBG,O
",",",",O
Mr.,NNP,PERSON
Holmes,NNP,PERSON
",",",",O
and,CC,O
I,PRP,O
know,VBP,O
that,IN,O
it,PRP,O
lead,VBZ,O
infallibly,RB,O
to,IN,O
I,PRP,O
.,.,O
I,PRP,O
have,VBP,O
be,VBN,O
follow,VBN,O
from,IN,O
London,NNP,LOCATION
Bridge,NNP,LOCATION
Station,NNP,LOCATION
",",",",O
and,CC,O
I,PRP,O
be,VBP,O
sure,JJ,O
that,IN,O
they,PRP,O
be,VBP,O
only,RB,O
wait,VBG,O
for,IN,O
the,DT,O
warrant,NN,O
to,TO,O
arrest,VB,O
I,PRP,O
.,.,O
it,PRP,O
will,MD,O
break,VB,O
my,PRP$,O
mother,NN,O
's,POS,O
heart,NN,O
--,:,O
it,PRP,O
will,MD,O
break,VB,O
she,PRP$,O
heart,NN,O
!,.,O
"""",``,O
he,PRP,O
wring,VBD,O
he,PRP$,O
hand,NNS,O
in,IN,O
a,DT,O
agony,NN,O
of,IN,O
apprehension,NN,O
",",",",O
and,CC,O
sway,VBD,O
backwards,RB,O
and,CC,O
forwards,RB,O
in,IN,O
