,count,dirty_character,strongly_suggested,similarity,clean_character
465,3,John Mason,,,
466,3,Mr. Sidney Johnson,,,
467,3,Robert St. Simon,,,
468,3,Miss Turner,,,
469,3,John Rance,,,
470,3,Anderson,,,
471,3,Murcher,,,
472,3,Joseph Smith,Joseph Smith,[2.0],
473,3,Joseph Harrison,,,
474,3,Rodger Baskerville,,,
475,3,Abdullah,Abdullah Khan,[1.7637626158259734],
476,3,Jonas Oldacre,,,
477,3,Mr. Eduardo Lucas,,,
478,3,Charlington Heath,,,
479,3,Kate,,,
480,3,Baron Adelbert Gruner,,,
481,3,William Crowder,,,
482,3,Coward,,,
483,3,Cormac,,,
484,3,Williams,,,
485,3,Mr. St. Clair,,,
486,3,Mr. McGinty,,,
487,3,Reginald Musgrave,,,
488,3,Reichenbach,,,
489,3,Sally,,,
490,3,Jem,,,
491,3,Reilly,,,
492,3,Jim Browner,,,
493,3,Jim Carnaway,,,
494,3,Jimmie,,,
495,3,Christ,,,
496,3,Miss Sarah,,,
497,3,Miss Alice,,,
498,3,Mr. James Windibank,James Windibank,[1.8819171036881968],
499,3,Wallington,,,
500,3,Stanger,,,
501,3,Ernest,,,
502,3,Pope,,,
503,3,Mrs. Charpentier,,,
504,3,Greuze,,,
505,3,Harker,,,
506,3,Merton,,,
507,3,Hayter,,,
508,3,Adelbert,,,
509,3,Mrs. Saunders,,,
510,3,Mother,,,
511,3,Albert,Prince Albert,[1.6454972243679027],
512,3,Mercer,,,
513,3,Lyons,,,
514,3,Spaulding,,,
515,3,Menzies,,,
516,3,Mr. Von Bork,,,
517,3,Mr. John Garrideb,,,
518,3,Fitzroy,,,
519,3,Philip Green,,,
520,3,Straubenzee,,,
521,3,Patch,,,
522,3,Mrs. Browner,,,
523,3,Mr. Bartholomew Sholto,Bartholomew Sholto,[1.8997354108424374],
524,3,MacKinnon,MacKinnon,[2.0],
525,3,Staunton,,,
526,3,Flora,,,
527,3,Beecher,,,
528,3,Mason,,,
529,3,Hill Barton,Barton / Hill,"[1.7071067811865475, 1.547722557505166]",
530,3,Mike Scanlan,,,
531,3,Eccles,,,
532,3,Mr. Ian Murdoch,,,
533,3,Morstan,,,
534,3,Mr. Trelawney Hope,,,
535,3,Godfrey Norton,Godfrey Norton,[2.0],
536,3,Theresa Wright,,,
537,3,Miller Hill,Hill,[1.547722557505166],
538,3,Victor Savage,,,
539,3,Mr. Lucas,,,
540,3,Bellinger,,,
541,3,Jonathan Wild,,,
542,3,Alexis,,,
543,3,Percy Trevelyan,,,
544,3,Turner,Mrs. Turner,[1.7071067811865475],
545,3,Enoch J. Drebber,,,
546,3,Mr. Angel,,,
547,3,Englischer Hof,,,
548,3,Lowenstein,,,
549,3,Patrick Cairns,,,
550,3,Harold Stackhurst,,,
551,3,Mr. Baker,,,
552,2,Reuben Hayes,,,
553,2,Miss Sarah Cushing,,,
554,2,Miss S. Cushing,,,
555,2,Paramore,Paramore,[2.0],
556,2,Maud,,,
557,2,Baron Von Herling,,,
558,2,McCauley,McCauley,[2.0],
559,2,Maggie,,,
560,2,Master Godfrey,,,
561,2,Matilda Briggs,,,
562,2,Patrick,,,
563,2,Blackheath,,,
564,2,Murray,,,
565,2,Marx,,,
566,2,Mr. Altamont,,,
567,2,Mr. Cubitt,,,
568,2,Paul,,,
569,2,Beryl,,,
570,2,Muirhead,,,
571,2,Armitage,,,
572,2,Peter,Peter Jones,[1.632455532033676],
573,2,Robert Norberton,,,
574,2,Robert Ferguson,,,
575,2,Annie Morrison,,,
576,2,Miss Rucastle,,,
577,2,Ridling Thorpe Manor,,,
578,2,Mr. Alec Cunningham,,,
579,2,Mr. Barnes,,,
580,2,Leslie Oakshott,,,
581,2,Macphail,,,
582,2,Kilburn,,,
583,2,Mrs. Tangey,,,
584,2,Langdale Pike,,,
585,2,Bhurtee,,,
586,2,Mrs. Norlett,,,
587,2,Bayard,,,
588,2,Mr. Bellamy,,,
589,2,Rachel,,,
590,2,Latimer,,,
591,2,Miss Flora Millar,,,
592,2,Anthony,,,
593,2,Pycroft,,,
594,2,Prophet,,,
595,2,Miss Ettie Shafter,,,
596,2,Miss Ettie,,,
597,2,Mrs. Oldmore,,,
598,2,Miss Doran,,,
599,2,Mr. Ames,,,
600,2,Norman Neruda,,,
601,2,Beddington,,,
602,2,Morrison,,,
603,2,Birlstone,,,
604,2,Lamberley,,,
605,2,Lucy Parr,,,
