,character1,character2,similarity,normalized
338,Miss Nancy Devoy,Nancy Devoy,2.7053854698166147,No
339,Nancy,Nancy Devoy,2.512455532033676,No
340,Henry,Henry Wood,2.5555555555555554,No
341,Henry Wood,Mr. Henry Wood,2.729486191773741,No
342,Harry Wood,Harry,2.5555555555555554,No
343,Teddy,Ted,2.540440114519881,No
344,Latimer,Mr. Latimer,2.64126333590815,No
345,Frances Carfax,Frances,2.57167391279445,No
346,Frances Carfax,Lady Frances Carfax,2.7572439930062047,No
347,Lady Frances,Lady Frances Carfax,2.703958182192794,No
348,Miss Marie Devine,Marie Devine,2.7249895309221834,No
349,Shlessinger,Mrs. Shlessinger,2.7053854698166147,No
350,Mr. Peters,Mrs. Peters,2.6388295982671233,No
351,Prendergast,Jack Prendergast,2.7053854698166147,No
352,Prendergast,Predergast,2.6491999686374936,No
353,John Openshaw,Openshaw,2.6248737269370848,No
354,Fordham,Mr. Fordham,2.64126333590815,No
355,Grimpen,Grimpen Mire,2.6476398549669056,No
356,Baskerville Hall,Baskerville,2.7498299142610594,No
357,Baskerville,Hugo Baskerville,2.7053854698166147,No
358,Baskerville,Henry Baskerville,2.6655694150420945,No
359,Baskerville,Rodger Baskerville,2.5630434202199197,No
360,Elizabeth,Eliza,2.6071067811865474,No
361,Barrymore,Mr. Barrymore,2.705385469816615,No
362,Barrymore,Mrs. Barrymore,2.656259412347608,No
363,Mr. Henry Baskerville,Henry Baskerville,2.827760524333249,No
364,Mr. Frankland,Frankland,2.705385469816615,No
365,Mr. Stapleton,Stapleton,2.705385469816615,No
366,Mr. Stapleton,Stapletons,2.5105410996602417,No
367,Mr. Stapleton,Mrs. Stapleton,2.7262176664407995,No
368,Mr. Barrymore,Mrs. Barrymore,2.7262176664407995,No
369,James Desmond,Mr. James Desmond,2.7826920704511053,No
370,John Clayton,John Clay,2.798257410876987,No
371,Clayton,Clay,2.540440114519881,No
372,Stapleton,Miss Stapleton,2.656259412347608,No
373,Stapleton,Stapletons,2.9205868193598414,No
374,Stapleton,Mrs. Stapleton,2.656259412347608,No
375,L. L.,L. L.--but,2.5555555555555554,No
376,Laura Lyons,Mrs. Laura Lyons,2.605385469816615,No
377,Mrs. Laura Lyons,Mrs. Lyons,2.6945966692414833,No
378,Mrs. Vandeleur,Vandeleur,2.656259412347608,No
379,Baron Gruner,Baron Adelbert Gruner,2.5970743941641117,No
380,de Merville,De Merville,2.7333333333333334,No
381,de Merville,Miss de Merville,2.7053854698166147,No
382,Miss Violet de Merville,Miss de Merville,2.69541979354174,No
383,Baron Adelbert Gruner,Adelbert Gruner,2.7366600265340755,No
384,Miss Kitty Winter,Miss Winter,2.715569415042095,No
385,Miss Kitty Winter,Kitty Winter,2.7249895309221834,No
386,Adelbert Gruner,Adelbert,2.6071067811865474,No
387,Isa Whitney,Mr. Isa Whitney,2.749916159490421,No
388,Isa Whitney,Whitney,2.64126333590815,No
389,Neville St. Clair,Mr. Neville St. Clair,2.7235938576665824,No
390,Mr. St. Clair,Mr. Neville St. Clair,2.68126333590815,No
391,Mr. St. Clair,Mrs. St. Clair,2.7262176664407995,No
392,Musgrave,Mr. Musgrave,2.6765119140053444,No
393,Musgrave,Musgrave Ritual,2.6071067811865474,No
394,Musgrave,Musgraves,2.9104143466934853,No
395,Percy Phelps,Mr. Percy Phelps,2.6765508587796956,No
396,Joseph Harrison,Mr. Joseph Harrison,2.807843029614123,No
397,Mr. Harrison,Mr. Joseph Harrison,2.6909952192298308,No
398,Mr. Harrison,Mr. Harris,2.8681703973696546,No
399,Mr. Phelps,Mr. Percy Phelps,2.6945966692414833,No
400,Mr. Joseph Harrison,Mr. Harris,2.5904401145198808,No
401,Neil Gibson,J. Neil Gibson,2.800134942383952,No
402,Neil Gibson,Mr. Neil Gibson,2.749916159490421,No
403,Miss Dunbar,Miss Grace Dunbar,2.715569415042095,No
404,J. Neil Gibson,Mr. Neil Gibson,2.7393160298101713,No
405,Mr. Gibson,Mr. Neil Gibson,2.71845039240394,No
406,Mr. Gibson,Mrs. Gibson,2.6388295982671233,No
407,Mr. Joyce Cummings,Mr. Cummings,2.722046725363373,No
408,Mr. Wilson,Mr. Jabez Wilson,2.68126333590815,No
409,Mr. Jabez Wilson,Jabez Wilson,2.7674599496887864,No
410,Duncan Ross,Mr. Duncan Ross,2.749916159490421,No
411,William Morris,Mr. William Morris,2.7960432596461864,No
412,Mr. Merryweather,Merryweather,2.7674599496887864,No
